id,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,last_review,calculated_host_listings_count,availability_365
44552206,360363029,Samuel,51.49814,0.08445,Entire home/apt,97.00 ,2,2020/10/15,1,99
44553316,238980451,Rob,51.46432,-0.17866,Private room,39.00 ,2,2021/8/25,2,80
44556099,360547794,Jan,51.56186,-0.07301,Private room,27.00 ,2,2021/9/6,2,75
44556246,250172768,Joel,51.49578,-0.46013,Entire home/apt,80.00 ,5,2021/5/14,1,329
44556328,102632953,Debbie,51.60725,0.04228,Private room,20.00 ,3,2021/8/13,1,75
44556390,359985514,Ramzan,51.49264,-0.17575,Private room,82.00 ,1,2021/8/14,5,324
44557742,360565681,Lara,51.47492,-0.18465,Entire home/apt,90.00 ,2,2021/9/7,1,69
44563408,135475307,Sarthak,51.39492,-0.06986,Entire home/apt,50.00 ,4,2020/10/6,1,2
44563864,139658197,Daniele,51.49299,-0.04294,Entire home/apt,110.00 ,2,2021/8/23,2,0
44565663,273701605,Mark,51.49067,-0.15205,Entire home/apt,177.00 ,3,2020/12/7,22,0
44565668,352700819,Michelle,51.36593,-0.09565,Entire home/apt,60.00 ,2,2021/7/10,26,361
44566112,69420560,Mo,51.57269,0.08462,Entire home/apt,58.00 ,1,2021/8/3,23,361
44567165,360655677,Julian,51.46892,-0.02911,Entire home/apt,78.00 ,2,2021/6/25,1,0
44568248,25144450,Gianluca,51.47432,-0.14678,Private room,26.00 ,58,2020/10/19,23,136
44568254,273701605,Mark,51.51295,-0.1494,Entire home/apt,119.00 ,3,2021/5/31,22,111
44568611,12652282,Anne,51.46132,-0.23053,Private room,40.00 ,2,2021/8/23,2,356
44568699,273701605,Mark,51.51292,-0.15112,Entire home/apt,119.00 ,3,2021/8/21,22,93
44568930,273701605,Mark,51.51429,-0.15119,Entire home/apt,119.00 ,3,2021/5/27,22,0
44569361,341074779,Edward,51.44025,-0.14723,Private room,85.00 ,1,2021/5/22,7,0
44570768,1836897,Angie,51.51054,-0.06255,Private room,35.00 ,28,2021/7/13,6,271
44570934,200199262,Julian,51.52722,-0.11675,Entire home/apt,900.00 ,4,2021/8/28,5,0
44571157,50515533,Dan,51.49285,-0.00781,Entire home/apt,59.00 ,4,2020/11/28,2,0
